0	55	1	0	30	1	15	0	2
1	55	1	0	30	1	12	0	2
2	4	1	0	40	1	11	1	2
3	4	1	0	40	1	11	1	2
4	26	1	0	30	1	10	0	2
5	6	1	0	30	1	9	0	2
6	6	1	0	30	1	9	0	2
7	30	1	1	30	1	23	0	2
8	30	1	1	30	1	23	0	2
9	31	1	1	30	1	0	1	2
10	31	1	1	30	1	0	1	2
11	28	1	1	30	1	2	1	2
12	28	1	1	30	1	2	1	2
13	57	1	1	30	1	9	0	2
14	57	1	1	30	1	9	0	2
15	32	1	1	30	1	6	1	2
16	32	1	1	30	1	6	1	2
17	33	1	1	20	1	5	0	2
18	33	1	1	20	1	5	0	2
19	58	1	1	30	1	4	0	2
20	58	1	1	30	1	4	0	2
21	59	1	2	30	1	13	0	2
22	59	1	2	30	1	13	0	2
23	60	1	2	30	1	5	1	2
24	60	1	2	30	1	5	1	2
25	61	1	2	30	1	10	0	2
26	35	1	2	20	1	14	1	2
27	35	1	2	20	1	14	1	2
28	36	1	2	30	1	2	1	2
29	36	1	2	30	1	2	1	2
30	39	1	2	20	1	5	1	2
31	39	1	2 	20	1	5	1	2
32	62	1	2	30	1	8	1	2
33	62	1	2	30	1	8	1	2
34	64	1	3	30	1	8	1	2
35	64	1	3	30	1	8	1	2
36	65	1	3	30	1	3	1	2
37	65	1	3	30	1	3	1	2
38	67	1	4	40	2	1	1	2
39	67	1	4	40	2	1	1	2
40	2	1	4	40	2	4	0	2
41	2	1	4	40	2	4	0	2
42	66	1	4	40	2	14	0	2
43	66	1	4	40	2	14	0	2
44	3	1	5	50	2	15	0	2
45	3	1	5	50	2	15	0	2
46	10	1	5	40	2	2	1	2
47	10	1	5	40	2	2	1	2
48	5	1	5	30	2	11	1	2
49	5	1	5	30	2	11	1	2
50	9	1	5	30	2	1	1	2
51	9	1	5	30	2	1	1	2
52	61	1	6	40	2	10	0	2
53	15	1	6	20	2	2	1	2
54	15	1	6	20	2	2	1	2
55	21	1	6	20	2	0	1	2
56	21	1	6	20	2	0	1	2
57	8	1	6	40	2	10	0	2
58	12	1	6	20	2	6	1	2
59	12	1	6	20	2	6	1	2
60	13	1	6	20	2	13	1	2
61	13	1	6	20	2	13	1	2
62	20	1	7	20	2	8	1	2
63	20	1	7	20	2	8	1	2
64	68	1	7	20	2	7	1	2
65	68	1	7	20	2	7	1	2
66	69	1	7	20	2	2	1	2
67	69	1	7	20	2	2	1	2
68	70	1	7	20	2	7	1	2
69	70	1	7	20	2	7	1	2
70	22	1	9	40	1	12	1	3
71	22	1	12	40	1	12	1	3
72	0	1	8	28	2	12	1	2
73	0	1	8	28	2	12	1	2
74	0	1	13	30	2	12	1	2
75	0	1	13	30	2	12	1	2
76	23	1	10	40	1	0	1	2
77	23	1	10	40	1	0	1	2
78	23	1	11	40	1	0	1	2
79	23	1	11	40	1	0	1	2
80	56	1	0	30	1	19	0	2
81	56	1	0	30	1	19	0	2
82	53	1	0	21	1	18	0	2
83	53	1	0	21	1	18	0	2
84	45	1	4	40	2	21	0	2
85	45	1	4	40	2	21	0	2
86	45	1	4	40	2	21	0	2
87	50	1	5	40	2	20	0	2
88	50	1	5	40	2	20	0	2
89	63	1	7	40	2	17	0	2
90	63	1	3	30	1	17	0	2
91	46	1	4	40	2	22	0	2
92	52	1	0	30	1	16	0	2
	
