0	0	2	0 18	37	1	12	1	2
1	0	2	0 18	37	1	12	1	2
2	1	2	0 21	40	1	1	0	2
3	1	2	0 21	40	1	1	0	2
4	2	2	0 21	40	1	3	0	2
5	2	2	0 21	40	1	3	0	2
6	3	1	1	30	1	13	0	2
7	3	1	1	30	1	13	0	2
8	5	1	1	30	1	5	0	2
9	5	1	1	30	1	5	1	2
10	7	1	1	40	1	7	0	2
11	7	1	1	40	1	7	0	2
12	8	1	1	30	1	8	1	2
13	9	1	1	30	1	2	1	2
14	9	1	1	30	1	2	1	2
15	10	1	2	30	1	2	1	2
16	10	1	2	30	1	2	0	2
17	11	1	2	20	1	10	0	2
18	11	1	2	20	1	10	0	2
19	12	1	2	20	1	4	1	2
20	12	1	2	20	1	4	1	2
21	13	1	2	20	1	10	1	2
22	13	1	2	20	1	10	1	2
23	14	1	2	30	1	7	0	2
24	14	1	2	30	1	7	0	2
25	15	1	3	20	1	2	1	2
26	15	1	3	20	1	2	1	2
27	16	1	3	20	1	10	0	2
28	16	1	3	20	1	10	0	2
29	17	1	3	20	1	6	1	2
30	17	1	3	20	1	6	1	2
31	20	2	2 3	20	1	1	1	2
32	20	2	2 3	20	1	1	1	2
33	21	1	3	20	1	0	1	2
34	21	1	3	20	1	0	1	2
35	24	1	4	30	2	13	1	2
36	24	1	4	30	2	13	1	2
37	25	2	4 19	70	2	3	0	2
38	6	2	4 19	70	2	6	0	2
39	6	2	4 19	70	2	6	0	2
40	0	1	4	30	2	3	1	2
41	0	1	4	30	2	3	1	2
42	4	1	5	30	2	7	1	2
43	4	1	5	30	2	7	1	2
44	27	1	5	40	2	7	0	2
45	27	1	5	40	2	7	0	2
46	28	1	5	30	2	1	0	2
47	28	1	5	30	2	1	0	2
48	29	1	5	40	2	11	0	2
49	29	1	5	40	2	11	0	2
50	31	1	6	30	2	0	1	2
51	31	1	6	30	2	0	1	2
52	32	1	6	20	2	4	0	2
53	32	1	6	20	2	4	1	2
54	33	1	6	20	2	6	1	2
55	33	1	6	20	2	6	0	2
56	36	1	6	30	2	2	0	2
57	36	1	6	30	2	2	1	2
58	35	1	6	20	2	11	0	2
59	35	1	6	20	2	11	1	2
60	26	1	7	30	2	8	0	2
61	39	1	7	20	2	5	0	2
62	39	1	7	20	2	5	0	2
63	43	1	7	20	2	11	0	2
64	43	1	7	20	2	11	1	2
65	44	1	7	20	2	11	0	2
66	44	1	7	20	2	11	1	2
67	34	1	7	20	2	12	1	1
68	34	1	7	20	2	12	1	3
69	40	1	8	20	2	6	0	2
70	37	1	8	20	2	6	1	2
71	37	1	8	20	2	6	1	2
72	38	1	8	20	2	13	0	2
73	38	1	8	20	2	13	0	2
74	41	1	8	10	2	8	0	2
75	42	1	8	10	2	3	0	2
76	22	3	14 15 16	30	1	8	1	2
77	22	1	10	30	1	8	1	2
78	30	1	9	15	2	12	0	2
79	30	1	9	15	2	12	0	2
80	23	3	11 12 13	37	1	1	1	2
81	23	3	11 12 13	37	1	1	1	2
82	0	1	21	30	1	3	1	2
83	0	1	21	30	1	3	1	2
84	0	1	19	30	2	12	1	2
85	0	1	19	30	2	12	1	2
86	24	1	19	30	2	8	1	2
87	24	1	19	30	2	8	1	2
88	24	1	17	35	2	13	1	2
89	24	1	17	35	2	13	1	2
90	24	1	20	35	2	1	1	2
91	24	1	20	35	2	1	1	2
92	18	1	3	10	1	3	0	2
93	45	2	0 21	30	1	15	0	2
94	45	2	0 21	30	1	15	0	2
95	45	2	0 21	30	1	15	0	2
96	46	2	0 21	30	1	14	0	2
97	47	2	0 21	30	1	16	0	2
98	47	2	0 21	30	1	16	0	2
99	48	1	1	30	1	17	0	2
100	48	1	1	30	1	17	0	2
101	49	1	1	30	1	18	0	2
102	49	1	1	30	1	18	0	2
103	50	1	2	30	1	19	0	2
104	50	1	2	30	1	19	0	2
105	51	1	3	30	1	20	0	4
106	52	2	4 19	70	2	14	0	2
107	47	2	4 19	70	2	21	0	2
108	47	2	4 19	70	2	21	0	2
109	53	1	5	45	2	22	0	2
110	53	1	5	45	2	22	0	2
111	51	1	7	40	2	20	0	4
112	54	1	8	20	2	23	0	2
113	54	1	8	20	2	23	0	2
